0.00155433,0.00199414,0.00332617,0.00248272,0.00273704
0.00155407,0.00196195,0.00346017,0.00271068,0.00301163
0.00155393,0.00196183,0.00345618,0.00305504,0.00331393
0.00156742,0.00191516,0.00387319,0.00363735,0.00394616
7.21266e-05,9.77988e-05,0.000580212,0.00346723,0.0040933
9.472e-05,1.62331e-05,0.00199152,0.016202,0.0210152
0.00014131,4.41009e-05,0.00052092,0.00681391,0.0082903
0.000158717,6.47055e-05,0.000498577,0.00405017,0.00472111
0.000104792,2.05995e-05,0.00143948,0.00539323,0.00539323
0.000156252,7.35206e-05,0.000390752,0.00290905,0.00265174
