Path,Cut,Counts
/disco4/SIMULACIONES/axions//axions_44/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_14/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_34/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_55/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_1/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_23/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_64/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_63/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_21/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_67/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_30/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_89/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_74/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_48/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_73/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_37/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_82/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_20/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_19/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_75/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_26/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_41/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_3/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_90/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_18/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_50/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_77/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_59/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_83/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_98/Events/run_01/m_delphes_events.root,C0,50000
/disco4/SIMULACIONES/axions//axions_5/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_66/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_80/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_25/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_60/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_42/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_13/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_88/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_43/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_8/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_58/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_49/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_57/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_81/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_4/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_45/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_99/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_61/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_54/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_91/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_79/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_35/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_62/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_97/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_10/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_96/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_52/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_65/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_11/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_100/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_68/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_12/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_33/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_29/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_85/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_38/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_93/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_87/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_94/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_72/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_84/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_86/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_22/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_70/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_92/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_56/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_95/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_9/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_46/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_39/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_71/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_6/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_36/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_14/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_69/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_17/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_47/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_34/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_63/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_24/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_67/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_51/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_30/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_89/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_28/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_2/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_40/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_78/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_32/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_27/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_7/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_16/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_15/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_31/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_53/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_44/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_37/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_1/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_55/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_23/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_64/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_21/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_76/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_74/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_48/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_73/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_82/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_20/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_19/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_26/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_18/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_41/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_75/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_77/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_90/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_3/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_50/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_59/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_83/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_98/Events/run_01/m_delphes_events.root,noCuts,50000
/disco4/SIMULACIONES/axions//axions_5/Events/run_01/m_delphes_events.root,vbfCuts,22606
/disco4/SIMULACIONES/axions//axions_80/Events/run_01/m_delphes_events.root,vbfCuts,22615
/disco4/SIMULACIONES/axions//axions_25/Events/run_01/m_delphes_events.root,vbfCuts,22478
/disco4/SIMULACIONES/axions//axions_66/Events/run_01/m_delphes_events.root,vbfCuts,22555
/disco4/SIMULACIONES/axions//axions_60/Events/run_01/m_delphes_events.root,vbfCuts,22688
/disco4/SIMULACIONES/axions//axions_8/Events/run_01/m_delphes_events.root,vbfCuts,22623
/disco4/SIMULACIONES/axions//axions_4/Events/run_01/m_delphes_events.root,vbfCuts,22536
/disco4/SIMULACIONES/axions//axions_49/Events/run_01/m_delphes_events.root,vbfCuts,22679
/disco4/SIMULACIONES/axions//axions_88/Events/run_01/m_delphes_events.root,vbfCuts,22592
/disco4/SIMULACIONES/axions//axions_79/Events/run_01/m_delphes_events.root,vbfCuts,22612
/disco4/SIMULACIONES/axions//axions_57/Events/run_01/m_delphes_events.root,vbfCuts,22585
/disco4/SIMULACIONES/axions//axions_62/Events/run_01/m_delphes_events.root,vbfCuts,22637
/disco4/SIMULACIONES/axions//axions_99/Events/run_01/m_delphes_events.root,vbfCuts,22557
/disco4/SIMULACIONES/axions//axions_13/Events/run_01/m_delphes_events.root,vbfCuts,22693
/disco4/SIMULACIONES/axions//axions_43/Events/run_01/m_delphes_events.root,vbfCuts,22755
/disco4/SIMULACIONES/axions//axions_61/Events/run_01/m_delphes_events.root,vbfCuts,22703
/disco4/SIMULACIONES/axions//axions_81/Events/run_01/m_delphes_events.root,vbfCuts,22441
/disco4/SIMULACIONES/axions//axions_58/Events/run_01/m_delphes_events.root,vbfCuts,22685
/disco4/SIMULACIONES/axions//axions_54/Events/run_01/m_delphes_events.root,vbfCuts,22730
/disco4/SIMULACIONES/axions//axions_42/Events/run_01/m_delphes_events.root,vbfCuts,22562
/disco4/SIMULACIONES/axions//axions_97/Events/run_01/m_delphes_events.root,vbfCuts,22510
/disco4/SIMULACIONES/axions//axions_35/Events/run_01/m_delphes_events.root,vbfCuts,22595
/disco4/SIMULACIONES/axions//axions_96/Events/run_01/m_delphes_events.root,vbfCuts,22635
/disco4/SIMULACIONES/axions//axions_52/Events/run_01/m_delphes_events.root,vbfCuts,22535
/disco4/SIMULACIONES/axions//axions_91/Events/run_01/m_delphes_events.root,vbfCuts,22464
/disco4/SIMULACIONES/axions//axions_68/Events/run_01/m_delphes_events.root,vbfCuts,22654
/disco4/SIMULACIONES/axions//axions_10/Events/run_01/m_delphes_events.root,vbfCuts,22778
/disco4/SIMULACIONES/axions//axions_85/Events/run_01/m_delphes_events.root,vbfCuts,22512
/disco4/SIMULACIONES/axions//axions_100/Events/run_01/m_delphes_events.root,vbfCuts,22813
/disco4/SIMULACIONES/axions//axions_33/Events/run_01/m_delphes_events.root,vbfCuts,22764
/disco4/SIMULACIONES/axions//axions_65/Events/run_01/m_delphes_events.root,vbfCuts,22662
/disco4/SIMULACIONES/axions//axions_12/Events/run_01/m_delphes_events.root,vbfCuts,22694
/disco4/SIMULACIONES/axions//axions_29/Events/run_01/m_delphes_events.root,vbfCuts,22657
/disco4/SIMULACIONES/axions//axions_94/Events/run_01/m_delphes_events.root,vbfCuts,22537
/disco4/SIMULACIONES/axions//axions_11/Events/run_01/m_delphes_events.root,vbfCuts,22708
/disco4/SIMULACIONES/axions//axions_93/Events/run_01/m_delphes_events.root,vbfCuts,22429
/disco4/SIMULACIONES/axions//axions_38/Events/run_01/m_delphes_events.root,vbfCuts,22505
/disco4/SIMULACIONES/axions//axions_84/Events/run_01/m_delphes_events.root,vbfCuts,22617
/disco4/SIMULACIONES/axions//axions_45/Events/run_01/m_delphes_events.root,vbfCuts,22605
/disco4/SIMULACIONES/axions//axions_87/Events/run_01/m_delphes_events.root,vbfCuts,22671
/disco4/SIMULACIONES/axions//axions_22/Events/run_01/m_delphes_events.root,vbfCuts,22383
/disco4/SIMULACIONES/axions//axions_72/Events/run_01/m_delphes_events.root,vbfCuts,22797
/disco4/SIMULACIONES/axions//axions_70/Events/run_01/m_delphes_events.root,vbfCuts,22504
/disco4/SIMULACIONES/axions//axions_86/Events/run_01/m_delphes_events.root,vbfCuts,22629
/disco4/SIMULACIONES/axions//axions_95/Events/run_01/m_delphes_events.root,vbfCuts,22482
/disco4/SIMULACIONES/axions//axions_56/Events/run_01/m_delphes_events.root,vbfCuts,22541
